201817,1986,625
201818,1295,280
201819,2096,243
201820,4458,320
201821,3412,857
201822,3554,624
201823,1750,146
201824,2956,455
201825,3232,1538
201826,6319,4624
201827,4469,3875
201828,4737,3924
201829,4284,3867
201830,4998,3803
201831,2179,1738
201832,4699,3492
201833,6926,4978
201834,8136,5827
201835,3447,1868
201836,2704,2064
201837,2921,2470
201838,3712,2906
201839,6429,5615
201840,2146,1327
201841,1270,273
201842,2291,461
201843,2968,825
201844,4333,851
201845,3408,1282
201846,11925,5678
201847,7379,3752
201848,6124,2118
