-93 -4
-74 -1
-93 8
-93 5
-91 3
-91 6
-87 5
-73 1
-53 9
-53 9
-53 9
-98 -6
-79 3
-89 9
-84 7
-86 13
-84 13
-87 14
-71 18
-67 18
-67 18
-67 18
-99 -6
-81 3
-91 9
-83 6
-84 12
-80 12
-85 12
-62 18
-59 17
-59 17
-59 17
-94 -6
-78 3
-86 8
-75 5
-78 11
-73 11
-77 11
-52 18
-55 17
-55 17
-55 17
-88 -5
-75 4
-83 9
-72 6
-71 12
-68 12
-71 12
-51 19
-53 17
-53 17
-53 17
-88 -5
-73 4
-81 9
-69 6
-67 12
-65 12
-68 12
-47 18
-53 17
-53 17
-53 17
-87 -5
-72 4
-78 9
-66 6
-63 13
-58 13
-61 13
-39 19
-44 17
-44 17
-44 17
-81 -5
-63 4
-73 8
-61 6
-57 13
-53 13
-55 13
-30 19
-39 17
-39 17
-39 17
-80 -5
-62 4
-72 9
-58 8
-54 15
-50 15
-51 15
-28 19
-38 17
-38 17
-38 17
