-55 -2
-60 -4
-65 -2
-65 -4
-76 -5
-76 -2
-78 -4
-70 0
-84 -6
-84 -6
-84 -6
-35 -6
-55 2
-51 4
-51 2
-61 1
-60 -1
-61 2
-50 3
-68 -6
-68 -6
-68 -6
-46 -4
-61 5
-63 6
-61 6
-72 5
-70 3
-72 5
-58 8
-67 1
-67 1
-67 1
-43 -4
-58 5
-64 7
-62 7
-76 6
-72 4
-74 6
-57 9
-57 1
-57 1
-57 1
-41 -3
-54 5
-63 7
-61 7
-75 5
-73 3
-74 5
-57 8
-57 -1
-57 -1
-57 -1
-41 0
-55 5
-60 7
-59 7
-68 5
-66 3
-67 5
-45 6
-54 -3
-54 -3
-54 -3
-41 0
-55 5
-62 8
-61 8
-69 6
-67 4
-67 6
-44 6
-56 -3
-56 -3
-56 -3
-44 0
-58 4
-65 7
-64 8
-72 6
-70 4
-70 6
-44 4
-56 -3
-56 -3
-56 -3
-41 0
-56 4
-64 7
-63 8
-71 6
-69 4
-69 6
-48 4
-56 -3
-56 -3
-56 -3
